id,name,city,languages,topics,primary_platform,handle,followers,engagement_rate,verification_status,source_tag,profile_url,notes
inf-1,Narin Chaiyaphum,Bangkok,th;en,food;bangkok;nightlife;lifestyle,tiktok,@narineatsbkk,428000,6.4,verified,demo-seed,https://tiktok.com/@narineatsbkk,Pilot F&B candidate
inf-2,Maya Riverton,Phuket,en;th,travel;real estate;lifestyle,youtube,@mayaphuketlife,212000,3.8,verified,demo-seed-non-pilot,https://youtube.com/@mayaphuketlife,Adjacent / non-pilot category (demo seed)
inf-3,Pimchanok Saetang,Bangkok,th;en;zh,skincare;beauty;wellness,tiktok,@pimglowth,610000,7.1,verified,demo-seed-non-pilot,https://tiktok.com/@pimglowth,Adjacent / non-pilot category (demo seed)
inf-4,Sergei Orlov,Koh Samui,ru;en;th,travel;island;family,instagram,@sergei.samui,154000,4.6,verified,demo-seed-non-pilot,https://instagram.com/sergei.samui,Adjacent / non-pilot category (demo seed)
inf-5,Anong Meadows,Chiang Mai,en;th,fitness;wellness;lifestyle,instagram,@anong.move,88000,4.2,verified,demo-seed-non-pilot,https://instagram.com/anong.move,Adjacent / non-pilot category (demo seed)
inf-6,Kai Nakamura,Pattaya,en;th,travel;nightlife;food;lifestyle,tiktok,@kai.pattaya,98000,5.2,verified,demo-seed,https://tiktok.com/@kai.pattaya,Pilot F&B candidate
inf-7,Lalita Wong,Phuket,th;en,travel;lifestyle;food;family,instagram,@lalita.eats,142000,4.8,verified,demo-seed,https://instagram.com/lalita.eats,Pilot F&B candidate
inf-8,Tom Hughes,Bangkok,en;th,fitness;food;lifestyle;bangkok,youtube,@tomhughesbkk,76000,3.9,verified,demo-seed,https://youtube.com/@tomhughesbkk,Pilot F&B candidate
inf-9,Ying Zhao,Bangkok,zh;en;th,beauty;skincare;travel,tiktok,@ying.bkk,320000,6.1,verified,demo-seed-non-pilot,https://tiktok.com/@ying.bkk,Adjacent / non-pilot category (demo seed)
inf-10,Chai Boonmee,Chiang Mai,th;en,travel;adventure;food,tiktok,@chaieatsn,210000,5.9,verified,demo-seed,https://tiktok.com/@chaieatsn,Pilot F&B candidate
